Year,Mean Mean Temperature (°C),Mean Maximum Temperature (°C),Mean Minimum Temperature (°C)
1983,27.753172205438066,31.890936555891244,24.93353474320242
1984,26.898219584569734,30.959643916913947,24.14362017804154
1985,27.162889518413596,31.422096317280452,24.309631728045325
1986,27.260714285714283,31.30892857142857,24.489583333333332
1987,27.51026392961877,31.745454545454542,24.842228739002934
1988,27.354437869822483,31.493491124260352,24.731360946745564
1989,27.009037900874638,31.330903790087465,24.184839650145776
1990,27.691304347826087,31.981739130434786,24.877971014492747
1991,27.566860465116278,31.72267441860465,24.75029069767442
1992,27.479360465116283,31.668604651162795,24.47093023255814
1993,27.5312865497076,31.42602339181287,24.694444444444443
1994,27.66809116809117,31.455270655270652,24.776638176638176
1995,27.696793002915452,31.488629737609326,24.80145772594752
1996,27.583673469387758,31.49037900874636,24.611661807580173
1997,28.287887323943664,32.428450704225355,25.35718309859155
1998,28.404892966360862,32.230886850152906,25.39480122324159
1999,27.56849710982659,31.442485549132943,24.756936416184974
2000,27.53710144927536,31.45884057971015,24.73768115942029
2001,27.69032258064516,31.456304985337244,24.94310850439883
2002,28.164723032069972,32.16122448979591,25.3265306122449
2003,27.86911764705882,31.576764705882347,25.167941176470585
2004,27.95202312138728,31.871387283236995,25.187572254335258
2005,28.05129682997118,31.90605187319885,25.143227665706053
2006,27.894940476190477,31.71339285714286,25.171726190476193
2007,27.671130952380953,31.286011904761907,24.87857142857143
2008,27.603254437869825,31.257692307692302,24.84881656804733
2009,27.981196581196585,31.805982905982905,25.067806267806272
2010,28.085714285714282,31.867261904761904,24.911309523809525
2011,27.66764705882353,31.289411764705886,24.823529411764707
2012,27.606303724928363,31.261891117478513,25.059885386819484
2013,27.76467065868264,31.445808383233537,25.088922155688618
2014,27.996820809248558,31.685260115606933,25.365028901734103
2015,28.28470254957507,31.911614730878185,25.862606232294617
2016,28.533527696793,32.09795918367347,25.9332361516035
2017,27.76028571428571,31.226857142857142,25.330285714285715
2018,28.008985507246372,31.795362318840578,25.491014492753628
2019,28.575568181818184,32.46761363636363,25.913636363636364
